no_urut , kode_pelanggan , nama_customer, alamat
1 , labcust01    , Eva Novianti, S.H.  , Vila Sempilan, No. 67 - Kota B 
2 , labcust02    , Heidi Goh    , Vila Sempilan, No. 11 - Kota B 
3 , labcust03    , Unang Handoko, Vila Sempilan, No. 1 - Kota B
4 , labcust04    , Jokolono Sukarman   , Vila Permata Intan Berkilau, Blok C5-7
5 , labcust05    , Tommy Sinaga , Vila Permata Intan Berkilau, Blok A1/2
6 , labcust06    , Irwan Setianto      , Vila Gunung Seribu, Blok O1 - No. 1
7 , labcust07    , Agus Cahyono , Vila Gunung Seribu, Blok F4 - No. 8
8 , labcust08    , Maria Sirait , Vila Bukit Sagitarius, Gang. Sawit No. 3
9 , labcust09    , Ir. Ita Nugraha     , Vila Bukit Sagitarius, Gang Kelapa No. 6
10 , labcust10    , Djoko Wardoyo, Drs. , Vila Bukit Sagitarius, Blok A1 No. 1
11 , labcust11    , Unang Handoko, Vila Sempilan, No. 1 - Kota B
12 , labcust12    , Tommy Sinaga , Vila Permata Intan Berkilau, Blok A1/2
 
